tau,agent,estimate
0.023101297000831605,A5,0.23831296265551816
0.023101297000831605,A5,0.2382905678295159
0.023101297000831605,A5,0.2382659204520938
0.023101297000831605,A5,0.2383125934448303
0.023101297000831605,A5,0.2382914764474981
0.023101297000831605,A5,0.23833689375616515
0.023101297000831605,A5,0.23825963540058223
0.023101297000831605,A5,0.2383218787605151
0.023101297000831605,A5,0.23829184565818595
0.023101297000831605,A5,0.2382655512414059
0.023101297000831605,A5,0.23827072866085378
0.023101297000831605,A5,0.23830256970776958
0.023101297000831605,A5,0.23823406344092582
0.023101297000831605,A5,0.23827931366401572
0.023101297000831605,A5,0.23826734322174037
0.023101297000831605,A5,0.2383649739729312
0.023101297000831605,A5,0.23833046376367706
0.023101297000831605,A5,0.23830006145066
0.023101297000831605,A6,0.18978447870277274
0.023101297000831605,A6,0.1897733854425012
0.023101297000831605,A6,0.1897955719630443
0.023101297000831605,A6,0.1897733854425012
0.023101297000831605,A6,0.18978447870277274
0.023101297000831605,A6,0.18979557196304428
0.023101297000831605,A6,0.18976229218222967
0.023101297000831605,A6,0.1897733854425012
0.023101297000831605,A6,0.18976783881236542
0.023101297000831605,A6,0.1898066652233158
0.023101297000831605,A6,0.18981221185345157
0.023101297000831605,A6,0.1898066652233158
0.023101297000831605,A6,0.18976783881236542
0.023101297000831605,A6,0.18979002533290854
0.023101297000831605,A6,0.18976783881236545
0.023101297000831605,A6,0.1897900253329085
0.023101297000831605,A6,0.1898066652233158
0.023101297000831605,A6,0.18979272267626623
0.023101297000831605,A6,0.1898233051137231
0.023101297000831605,A6,0.18979557196304428
0.023101297000831605,A6,0.18976783881236542
0.023101297000831605,A6,0.1897733854425012
0.023101297000831605,A6,0.18976229218222965
0.023101297000831605,A6,0.1898233051137231
0.023101297000831605,A6,0.1897900253329085
0.023101297000831605,A6,0.18976783881236542
0.023101297000831605,A6,0.18978447870277274
0.023101297000831605,A6,0.1898066652233158
0.023101297000831605,A6,0.1898066652233158
0.023101297000831605,A6,0.1897733854425012
0.023101297000831605,A6,0.18977893207263696
0.023101297000831605,A6,0.18979557196304428
0.023101297000831605,A6,0.18979557196304428
0.023101297000831605,A6,0.1897733854425012
0.023101297000831605,A6,0.18982330511372314
0.023101297000831605,A6,0.18980111859318002
0.023101297000831605,A6,0.1897900253329085
0.023101297000831605,A6,0.1897733854425012
0.023101297000831605,A6,0.18977893207263696
0.023101297000831605,A6,0.1897900253329085
0.0533669923120631,A1,1.0577207668698498
0.0533669923120631,A1,1.0705162768399876
0.0533669923120631,A1,1.0642673068545714
0.0533669923120631,A1,1.06367216685596
0.0533669923120631,A1,1.052066936883044
0.0533669923120631,A1,1.0708138468392931
0.0533669923120631,A1,1.0529596468809606
0.0533669923120631,A1,1.061886746860127
0.0533669923120631,A1,1.0639697368552659
0.0533669923120631,A1,1.052066936883044
0.0533669923120631,A1,1.0684332868448492
0.0533669923120631,A1,1.0493888068892938
0.0533669923120631,A1,1.0714089868379044
0.0533669923120631,A1,1.0609499924262717
0.0533669923120631,A1,1.0585694324318276
0.0533669923120631,A1,1.052662076881655
0.0533669923120631,A1,1.0663502968497103
0.0533669923120631,A1,1.0574231968705443
0.0533669923120631,A1,1.0592086168663768
0.0533669923120631,A1,1.052662076881655
0.0533669923120631,A1,1.060392838037515
0.0533669923120631,A1,1.0654575868517935
0.0533669923120631,A1,1.0570815824353001
0.0533669923120631,A1,1.0651600168524875
0.0533669923120631,A1,1.0601013268642934
0.0533669923120631,A1,1.0541499268781827
